GEOIDFQ,SUMLEVEL,NAME,YEAR,Number of sales,Median home sale price (2023 dollars),Median home sale price (year-of dollars),Median income (2023 dollars),Median income (year-of dollars),Median income MOE (year-of dollars),Mean income (2023 dollars),Mean income (year-of dollars),Mean income MOE (year-of dollars),Median sale price/income ratio (MSA med inc),Median sale price/income ratio (geography med inc)
8600000US43001,860,43001,2012,17,225613,170000,,,,,,,3.165794521313246,
8600000US43001,860,43001,2013,25,312475,238900,,,,,,,4.417611272397789,
8600000US43001,860,43001,2014,25,302468,235000,,,,,,,4.168810203828209,
8600000US43001,860,43001,2015,26,242973,189000,,,,,,,3.2478691229034915,
8600000US43001,860,43001,2016,27,234868,185000,,,,,,,3.0682986698510635,
8600000US43001,860,43001,2017,40,323199,260000,,,,,,,4.077535913681701,
8600000US43001,860,43001,2018,24,410323,338150,,,,,,,5.279304315243865,
8600000US43001,860,43001,2019,20,354572,297500,,,,,,,4.42662222685137,
8600000US43001,860,43001,2020,28,389691,331000,,,,,,,4.761014340577938,
8600000US43001,860,43001,2021,38,386205,343450,,,,,,,4.780829354528877,
8600000US43001,860,43001,2022,10,344625,331000,,,,,,,4.368080024281775,
8600000US43001,860,43001,2023,24,464500,464500,,,,,,,6.00206745057501,
8600000US43001,860,43001,2024,30,399468,411250,,,,,,,,
8600000US43003,860,43003,2012,19,58261,43900,,,,,,,0.8175198793273617,
8600000US43003,860,43003,2013,28,115102,88000,,,,,,,1.6272490245751587,
8600000US43003,860,43003,2014,37,141581,110000,,,,,,,1.9513579677493749,
8600000US43003,860,43003,2015,36,173552,135000,,,,,,,2.319906516359637,
8600000US43003,860,43003,2016,29,203002,159900,,,,,,,2.6520051746442435,
8600000US43003,860,43003,2017,17,173906,139900,,,,,,,2.1940279781695002,
8600000US43003,860,43003,2018,29,215627,177700,,,,,,,2.774308374445763,
8600000US43003,860,43003,2019,31,178776,150000,,,,,,,2.231910366479682,
8600000US43003,860,43003,2020,35,268428,228000,,,,,,,3.279490240639788,
8600000US43003,860,43003,2021,35,247213,219845,,,,,,,3.060245827475327,
8600000US43003,860,43003,2022,19,213439,205000,,,,,,,2.705306359449437,
8600000US43003,860,43003,2023,30,292500,292500,,,,,,,3.779558082439592,
8600000US43003,860,43003,2024,28,288977,297500,,,,,,,,
8600000US43004,860,43004,2012,420,172859,130250,,,,,,,2.4255572729473545,
