GEOIDFQ,NAME,GEOTYPE,YEAR,Number of sales,Median home sale price (2023 dollars),Median home sale price (year-of dollars),Median income (2023 dollars),Median income (year-of dollars),Median income MOE (year-of dollars),Mean income (2023 dollars),Mean income (year-of dollars),Mean income MOE (year-of dollars),Median sale price/income ratio (MSA med inc),Median sale price/income ratio (geography med inc)
0500000US39041,Delaware County,COUNTY,2012,2705,325148,245000,113430,85470,4375,137110,103313,5123,4.562468574833796,2.866502866502867
0500000US39041,Delaware County,COUNTY,2013,3366,324378,248000,110078,84159,6238,143484,109699,4629,4.585883614711811,2.946803075131596
0500000US39041,Delaware County,COUNTY,2014,3166,332071,258000,124783,96949,4512,161748,125669,7707,4.576821415266715,2.6611929983805918
0500000US39041,Delaware County,COUNTY,2015,3346,349289,271700,123942,96410,4514,160011,124467,5943,4.669026670332691,2.818172388756353
0500000US39041,Delaware County,COUNTY,2016,3571,356745,281000,129105,101693,6016,162652,128117,8227,4.660496898530534,2.7632187072856538
0500000US39041,Delaware County,COUNTY,2017,3546,381623,307000,132926,106933,4294,161452,129881,6108,4.814628944231855,2.870956580288592
0500000US39041,Delaware County,COUNTY,2018,3342,394366,325000,121199,99881,6082,158339,130488,5860,5.074002373071879,3.2538721078082915
0500000US39041,Delaware County,COUNTY,2019,3515,402246,337500,128545,107854,6281,161251,135296,5475,5.021798324579286,3.1292302557160605
0500000US39041,Delaware County,COUNTY,2020,3749,429720,365000,132494,112539,0,164551,139768,0,5.250061130848784,3.243320093478705
0500000US39041,Delaware County,COUNTY,2021,3756,461337,410265,131817,117224,6022,162196,144240,7094,5.71089519620262,3.4998379171500718
0500000US39041,Delaware County,COUNTY,2022,3225,478936,460000,123930,119030,6702,165549,159004,10379,6.070443538276786,3.864571956649584
0500000US39041,Delaware County,COUNTY,2023,2931,487165,487165,126513,126513,7304,158726,158726,6164,6.294934746091227,3.850710994127086
0500000US39045,Fairfield County,COUNTY,2012,1359,185666,139900,80444,60615,5656,95990,72329,3260,2.6052626678336654,2.3080095685886333
0500000US39045,Fairfield County,COUNTY,2013,1576,189656,145000,73621,56286,3105,90023,68826,2995,2.681262597311341,2.576129055182461
0500000US39045,Fairfield County,COUNTY,2014,1722,194480,151100,77140,59933,3571,99130,77018,3470,2.6804562629720956,2.5211486159544823
0500000US39045,Fairfield County,COUNTY,2015,1947,205691,160000,78794,61291,2353,97215,75620,3592,2.749518834204014,2.6104974629227784
0500000US39045,Fairfield County,COUNTY,2016,2218,222172,175000,82922,65316,5128,103484,81512,5493,2.9024446876969514,2.6792822585583926
0500000US39045,Fairfield County,COUNTY,2017,2279,238048,191500,83671,67310,4670,101409,81579,3581,3.0032620287309455,2.8450453127321347
0500000US39045,Fairfield County,COUNTY,2018,2218,248754,205000,81475,67144,4196,101653,83773,4799,3.2005245737838006,3.053139521029429
0500000US39045,Fairfield County,COUNTY,2019,2324,259821,218000,85180,71469,5311,106957,89741,5033,3.2437097326171385,3.050273545173432
0500000US39045,Fairfield County,COUNTY,2020,2472,288442,245000,89885,76348,0,108935,92528,0,3.5240136357752108,3.2090114280100854
0500000US39045,Fairfield County,COUNTY,2021,2517,326101,290000,91338,81226,6118,107182,95316,5492,4.036804521221064,3.5702853766035507
0500000US39045,Fairfield County,COUNTY,2022,2172,325172,312316,85881,82486,4784,109091,104778,6849,4.121514443696636,3.786291006958757
